¿Cómo se calcula el número total de instrucciones ejecutadas ($NI$) si se conoce la tasa de MIPS y el tiempo?,$NI = MIPS \cdot 10^{6} \cdot tiempo$
"En un programa con un bucle de $150$ instrucciones que se repite $50$ veces, y $50$ instrucciones fuera del bucle, ¿cuántas instrucciones se ejecutan en total?","$7,550$ instrucciones ($50 + (150 \times 50)$)."
¿Qué es una operación en coma flotante?,Es una operación sobre números representados mediante significando y exponente (notación científica).
Diferencia entre transferencia en paralelo y serial en buses.,El paralelo usa varias líneas para enviar varios bits simultáneamente; el serial usa una sola línea para enviar bits uno tras otro.
El tiempo que tarda una señal en recorrer una distancia física entre componentes se ignora en este modelo básico. ¿Cómo se llama el factor de coordinación?,El Reloj.
"En el código ASCII mostrado en el material, ¿qué carácter representa el binario $00100000$?",El espacio.
¿Qué componentes forman parte de la arquitectura básica para 'procesar' información?,"La CPU (ALU, CU y Registros)."
¿Qué componentes forman parte de la arquitectura básica para 'comunicar' información?,Las unidades de Entrada y Salida.
¿Por qué un bit adicional duplica los estados?,"Porque cada estado anterior puede ahora terminar en $0$ o en $1$, creando dos variantes."
"Si queremos asignar códigos de longitud fija a $26$ letras, ¿bastan $5$ bits?","Sí, porque $2^{5} = 32$, que es mayor que $26$."
"Si duplicamos la tasa de transferencia de datos manteniendo el tamaño del archivo constante, ¿qué ocurre con el tiempo?",El tiempo de descarga se reduce a la mitad.
El prefijo Gi (gibi) corresponde a la potencia _____.,$2^{30}$
El prefijo G (giga) decimal corresponde a la potencia _____.,$10^{9}$
¿Qué unidad funcional de la CPU decide qué instrucción se ejecuta a continuación?,La Unidad de Control.
¿Cómo se llama el proceso de cargar un programa desde el almacenamiento a la memoria principal?,Carga (o 'loading').
"Un ciclo de reloj, ¿equivale siempre a la ejecución de una instrucción completa?","No, una instrucción puede requerir varios ciclos (CPI $> 1$)."
"En el modelo de buses, ¿qué unidad 'proporciona' siempre la dirección en el bus de direcciones?",El Procesador (CPU).
"Si el CPI de un procesador disminuye, ¿qué ocurre con el tiempo de ejecución (frecuencia constante)?",El tiempo de ejecución disminuye.
¿Qué es el código fuente?,Es el programa escrito por el programador en un lenguaje comprensible para humanos.
